epc,FirstSeenTime,LastSeenTime,Channel,PeakRSSI,PhaseAngle,DopplerFreq
FFFF FFFF FFFF FFFF FFFF FFFF,1487237123918242,0,920.625,-57.5,0.497009775274948,-12.1875
FFFF FFFF FFFF FFFF FFFF FFFF,1487237123931229,0,920.625,-57.5,0.460194236365692,4.875
FFFF FFFF FFFF FFFF FFFF FFFF,1487237123942083,0,920.625,-57.5,0.533825314184203,-23.5625
FFFF FFFF FFFF FFFF FFFF FFFF,1487237123952653,0,920.625,-57,0.552233083638831,-34.125
FFFF FFFF FFFF FFFF FFFF FFFF,1487237123964122,0,920.625,-57.5,0.582912699396544,-23.5625
FFFF FFFF FFFF FFFF FFFF FFFF,1487237123976321,0,920.625,-57,0.509281621578033,-10.5625
FFFF FFFF FFFF FFFF FFFF FFFF,1487237123989148,0,920.625,-57,0.552233083638831,-21.125
FFFF FFFF FFFF FFFF FFFF FFFF,1487237123998933,0,920.625,-57.5,0.484737928971863,4.875
FFFF FFFF FFFF FFFF FFFF FFFF,1487237124007706,0,920.625,-57.5,0.47860200582032,1.625
FFFF FFFF FFFF FFFF FFFF FFFF,1487237124020995,0,920.625,-57,0.490873852123405,-8.9375
FFFF FFFF FFFF FFFF FFFF FFFF,1487237124029527,0,920.625,-57,0.45405831321415,4.875
FFFF FFFF FFFF FFFF FFFF FFFF,1487237124045499,0,920.625,-57,0.466330159517235,8.9375
FFFF FFFF FFFF FFFF FFFF FFFF,1487237124053349,0,920.625,-57,0.515417544729575,-19.5
FFFF FFFF FFFF FFFF FFFF FFFF,1487237124066238,0,920.625,-57.5,0.50314569842649,-19.5
FFFF FFFF FFFF FFFF FFFF FFFF,1487237124078027,0,920.625,-57.5,0.484737928971863,-4.875
FFFF FFFF FFFF FFFF FFFF FFFF,1487237124088522,0,920.625,-57,0.466330159517235,-1.625
FFFF FFFF FFFF FFFF FFFF FFFF,1487237124099231,0,920.625,-57.5,0.509281621578033,-17.875
FFFF FFFF FFFF FFFF FFFF FFFF,1487237124109663,0,920.625,-57,0.423378697456437,13
FFFF FFFF FFFF FFFF FFFF FFFF,1487237124123453,0,920.625,-57,0.447922390062607,3.25
FFFF FFFF FFFF FFFF FFFF FFFF,1487237124132745,0,920.625,-57,0.484737928971863,-5.6875
FFFF FFFF FFFF FFFF FFFF FFFF,1487237124143767,0,920.625,-57,0.447922390062607,-12.1875
FFFF FFFF FFFF FFFF FFFF FFFF,1487237124157767,0,920.625,-57,0.257708772364788,57.75
FFFF FFFF FFFF FFFF FFFF FFFF,1487237124168804,0,920.625,-57.5,0.47860200582032,-5.6875
FFFF FFFF FFFF FFFF FFFF FFFF,1487237124180668,0,920.625,-57,0.472466082668777,-10.5625
FFFF FFFF FFFF FFFF FFFF FFFF,1487237124192072,0,920.625,-57.5,0.546097160487288,-25.1875
FFFF FFFF FFFF FFFF FFFF FFFF,1487237124199915,0,920.625,-57.5,0.552233083638831,-21.125
FFFF FFFF FFFF FFFF FFFF FFFF,1487237124215492,0,920.625,-57,0.527689391032661,-21.9375
FFFF FFFF FFFF FFFF FFFF FFFF,1487237124222751,0,920.625,-57,0.552233083638831,-30.875
FFFF FFFF FFFF FFFF FFFF FFFF,1487237124236689,0,920.625,-57,0.515417544729575,-17.875
FFFF FFFF FFFF FFFF FFFF FFFF,1487237124245310,0,920.625,-57,0.447922390062607,-1.625
FFFF FFFF FFFF FFFF FFFF FFFF,1487237124256833,0,920.625,-57,0.349747619637926,16.25
FFFF FFFF FFFF FFFF FFFF FFFF,1487237124270385,0,920.625,-57,0.47860200582032,-4.875
FFFF FFFF FFFF FFFF FFFF FFFF,1487237124281599,0,920.625,-57.5,0.484737928971863,-12.1875
FFFF FFFF FFFF FFFF FFFF FFFF,1487237124293211,0,920.625,-57,0.472466082668777,-5.6875
